,char,strokeorder
0,业,S-S-D-P-H
1,夜,D H P S P HP D N
2,严,H S S D D H P
3,宴,D-D-HG S-HZ-H-H PD-P-H
4,棒,H S P D H H H P N H H S
5,兴,D D P H P D
6,展,HZ H P H S S H ST P N
7,破,H-P S-HZ-H HG-SP-S-HP-N
8,行,P P-S H H-SG
9,装,D D S H S H D H P ST P N
10,眼,S-HZ-H-H-H HZ-H-H-ST-P-N
11,产,D H D P H-SP
12,学,D D P D-HG HG-SG-H
13,天,H-H-SP-N
14,集,P-S-D-H-H-H-S-H H-S-P-N
15,泰,H H H P N SG D T P N
16,市,D H S-HZG-S
17,豪,D H S-HZ-H D-HG H-P-WG-P-P-P-N
18,州,P P D S D S
19,居,HZ-H-SP H-S S-HZ-H
20,中,S-HZ-H S
21,宝,D-D-HG H-H-S-H D
22,保,P-S S-HZ-H H-S-P-N
23,华,P-S P-SWG H-S
24,号,S-HZ-H H-SZWG
25,国,S-HZ H-H-S-H D H
26,造,P-H-S-H S-HZ-H D HZ-TN
27,众,P-N SP-N SP-N
28,载,H-S H-XG-P-D H-SZ-H-S
29,道,D-P-H-P-S-HZ-H-H-H D HZ-TN
30,电,S-HZ-H-H-SWG
31,君,HZ H H P S HZ H
32,羊,D-P-H-H-H-S
33,股,SP-HZG-H-H SP HZW HP-N
34,江,D D T H S-H
35,加,HZG-SP S-HZ-H
36,佳,P-S H-S-H H-S-H
37,共,H-S-S-H-P-D
38,没,D D T SP HZW HP-N
39,丽,H S-HZG D S-HZG D
40,山,S-SZ-S
41,东,H-SZ-SG P D
42,处,P-HP-N S D
43,巡,PD-PD-PD D HZ-TN
44,院,HPWG-S D-D-HG H-H-SP-SWG
45,五,H-S-HZ-H
46,精,D P H-S-P-N H-H-S-H SP-HZG-H-H
47,会,P-N H H-PZ-D
48,成,H-SP-HZG-XG-P D
49,聘,H-S-S-H-H-H S-HZ-H-S-H H-SZWG
50,典,S-HZ-H-S-S-H P-D
51,修,P-S S P-HP-N P P P
52,上,S-H-H
53,吉,H-S-H S-HZ-H
54,反,P-SP HP-N
55,采,P D D P H-S-P-N
56,夫,H-H-SP-N
57,生,P-H-H-S-H
58,诸,D HZT H-S-H-P S-HZ-H-H
59,杰,H-S-P-N D D D D
60,有,H-P S-HZG-H-H
61,和,P-H-S-P-D S-HZ-H
62,便,P-S H-S-HZ-H-H-SP-N
63,公,P N PZ-D
64,回,S-HZ S-HZ-H H
65,药,H-S-S PZ-PZ T P-HZG D
66,团,S-HZ H-SG-P H
67,民,HZ-H-ST-H-XG
68,美,D-P-H-H-S-H H-SP-N
69,手,P-H-H-SG
70,疗,D-H-SP D T HG-SG
71,雪,H-D-HG-S H H H H HZ-H-H
72,请,D HZT H-H-S-H SP-HZG-H-H
73,规,H-H-SP-N S-HZ SP SWG
74,创,P-N HZG-SWG S SG
75,柳,H S P N P ST P HZG S
76,制,P H H S HZG S S SG
77,员,S-HZ-H S-HZ SP-D
78,园,S-HZ H-H-SP-SWG H
79,快,D D S HZ-H-SP-N
80,明,S-HZ-H-H SP-HZG-H-H
81,复,P H S HZ H H P HP N
82,证,D HZT H-S-H-S-H
83,通,HG-D S-HZG-H-H-S D HZ-TN
84,楼,H-S-P-D D P H-S-P-N PD-P-H
85,迎,P ST HZG S D HZ TN
86,地,H-S-H HZG-S-SWG
87,贸,P ST D HZG P S HZ P N
88,建,HZ-H-H-H-H-S HZZP-N
89,场,H-S-H HZZZG-P-P
90,区,H P-N SZ
91,养,D P H H-H-SP-N SP S
92,方,D-H-HZG-SP
93,以,ST D SP-D
94,汽,D D T P-H-H-HZWG
95,自,P-S-HZ-H-H-H
96,鲜,P-HG S-HZ-H-S-H H D-P-H-H-H-S
97,名,P-HP-D S-HZ-H
98,三,H H H
99,育,D H PZ-D S-HZG-H-H
100,桥,H-S-P-D SP H-SP-N SP S
101,专,H-H-SZZ-D
102,管,P-H-D P-H-D D-D-HG S-HZ-H-HZ-H
103,用,SP-HZG-H-H-S
104,质,H-SP H-S S-HZ SP-D
105,版,SP-S-H-HZ P-SP HP-N
106,车,H-SZ-H-S
107,齐,D H P-N SP S
108,立,D H D P H
109,之,D-HP-N
110,酒,D D T H-S-HZ-SP-SW-H-H
111,家,D-D-HG H-P-WG-P-P-P-N
112,具,S-HZ-H-H-H H P D
113,馆,P-HG ST D-D-HG S-HZ-H-HZ-H
114,赞,P-H-S-H-SP-SWG P-H-S-H-SP-SWG S-HZ SP-D
115,萧,H S S HZ H H S P S D D
116,兄,S-HZ-H SP SWG
117,等,P-H-D P-H-D H-S-H H-SG-D
118,盼,S-HZ-H-H-H P TN HZG-SP
119,棋,H-S-P-D H-S-S-H-H-H P-D
120,陈,HPWG-S H-SZ-SG P D
121,站,D H D P H S-H S-HZ-H
122,六,D-H-P-D
123,健,P-S HZ-H-H-H-H-S HZZP-N
124,话,D HZT P-H-S S-HZ-H
125,商,D H D P S-HZG P D S-HZ-H
126,竹,P H S P H SG
127,路,S-HZ-H S-H-S-T P-HP-N S-HZ-H
128,相,H-S-P-D S-HZ-H-H-H
129,驶,HZ SZWG H S HZ H P N
130,扬,H-SG-T HZZZG-P-P
131,习,HZG D T
132,浴,D D T P D P-N S-HZ-H
133,崔,S-SZ-S P-S-D-H-H-H-S-H
134,白,P-S-HZ-H-H
135,厦,H-SP H P-S-HZ-H-H-H P-HP-N
136,城,H-S-H H-SP-HZG-XG-P D
137,文,D H P-N
138,街,P P-S H-S-H H-S-H H H-SG
139,讯,D HZT HZWG H-S
140,捷,H SG T H HZ H H S H P TN
141,好,PD-P-H HG-SG-H
142,联,H-S-S-H-H-H D P H-H-SP-N
143,的,P-S-HZ-H-H P-HZG D
144,恩,S-HZ H-SP-N H D BXG D D
145,器,S-HZ-H S-HZ-H H-SP-N D S-HZ-H S-HZ-H
146,湖,D D T H-S S-HZ-H SP-HZG-H-H
147,核,H-S-P-D D-H-PZ-P P-D
148,豆,H S-HZ-H D P H
149,物,P-H-H-S P-HZG-P-P
150,打,H-SG-T H-SG
151,银,P-H-H-H-ST HZ-H-H-ST-P-N
152,发,SZ-P HP-N D
153,诚,D HZT H-SP-HZG-XG-P D
154,辅,H-SZ-H-S H-S-HZG-H-H-S D
155,招,H-SG-T HZG-SP S-HZ-H
156,动,H H-PZ-D HZG-SP
157,速,H-S-HZ-H-S-P-N D HZ-TN
158,然,P-HP D D H-SP-N D D D D D
159,座,D H P P D P D H S H
160,爱,P D D P D-HG H-P HP-N
161,洋,D D T D-P-H-H-H-S
162,气,P-H-H-HZWG
163,县,S-HZ-H-H-H PZ-D
164,交,D-H-P-D P-N
165,连,H-SZ-H-S D HZ-TN
166,科,P-H-S-P-D D D H-S
167,放,D-H-HZG-SP P-H-P-N
168,治,D D T PZ-D S-HZ-H
169,瑞,H H-S-H S-SZ-S H-P-S-HZG-S-S
170,一,H
171,程,P-H-S-P-D S-HZ-H H H-S-H
172,友,H-P HP-N
173,网,S-HZG P-N P-N
174,火,D-P-SP-N
175,综,PZ-PZ T D-D-HG H H SG P D
176,大,H-SP-N
177,雅,H-SZ-SG-P P-S-D-H-H-H-S-H
178,届,HZ-H-SP S-HZ-H-S-H
179,元,H-H-SP-SWG
180,收,ST-S P-H-P-N
181,京,D-H S-HZ-H-SG-P-D
182,平,H-D-P-H-S
183,乐,P HZ SG D D
184,派,D D T P P P ST P N
185,工,H S-H
186,宣,D-D-HG H S-HZ-H-H H
187,宇,D-D-HG H-H-SG
188,心,D BXG D D
189,北,S-H-T P-SWG
190,菜,H-S-S P D D P H-S-P-N
191,入,P-TN
192,坤,H-S-H S-HZ-H-H-S
193,全,P-TN H H-S-H
194,设,D HZT SP HZW HP-N
195,唯,S-HZ-H P-S-D-H-H-H-S-H
196,禧,D-HP-S-D H-S-H S-HZ-H D D H S HZ H
197,新,D H D P H H-SG P D P-SP-H-S
198,示,H H SG P D
199,纫,PZ-PZ T HZG-SP D
200,宫,D-D-HG S-HZ-H S-HZ-H
201,告,P-H-S-H S-HZ-H
202,西,H-S-HZ-SP-SW-H
203,盛,H-SP-HZG-XG-P D S-HZ-S-S-H
204,素,H-H-S-H PZ-PZ-D SG P D
205,头,D D H-SP-D
206,秀,P-H-S-P-N HZZZG-SP
207,控,H-SG-T D D-HG P TN H S-H
208,险,HPWG-S P-N H D D P H
209,租,P-H-S-P-D S-HZ-H-H-H
210,泽,D D T HP N H H S
211,勃,H-S D-HG HG-SG-H HZG-SP
212,久,P-HP-N
213,安,D-D-HG PD-P-H
214,辆,H-SZ-H-S H-S-HZG-SP-D-SP-D
215,淀,D D T D-D-HG H S-H-P-N
216,滨,D D T D-D-HG P-S-H-S-H P D
217,日,S-HZ-H-H
218,源,D D T H-SP P-S-HZ-H-H SG P D
219,售,P-S-D-H-H-H-S-H S-HZ-H
220,司,HZG H S HZ H
221,找,H-SG-T H-XG-P-D
222,信,P-S D H H H S-HZ-H
223,闲,S-D-HZG H-S-P-N
224,提,H-SG-T S-HZ-H-H H S-H-P-N
225,杭,H-S-P-D D H SP HZWG
226,镶,P H H H ST D H S-HZ-H S-HZ-H H H S S H P ST P N
227,人,SP-N
228,先,P-H-S-H-SP-SWG
229,达,H-SP-N D HZ-TN
230,柜,H S P D H HZ H SZ
231,房,D HZ-H-SP D-H-HZG-SP
232,八,P TN
233,原,H-SP P-S-HZ-H-H SG P D
234,外,P-HP-D S D
235,监,S S P H D S HZ S S H
236,岗,S-SZ-S S-HZG P-N
237,丝,PZ PZ PZ PZ H
238,数,D P H-S-P-N PD-P-H P-H-P-N
239,莊,S H S H SZ S H P H S H
240,绒,PZ-PZ T H-XG-P-D H-P
241,喷,S-HZ-H H-S H-S-S S-HZ SP-D
242,谐,D HZT H-ST P-SWG P-S-HZ-H-H
243,纺,PZ-PZ T D-H-HZG-SP
244,为,D SP-HZG D
245,花,H-S-S P-S P-SWG
246,耗,H-H-H-S-P-N P-H-H-SWG
247,惠,H S HZ H H S H D D BXG D D
248,镜,P-H-H-H-ST D H D P H S-HZ-H-H SP SWG
249,嘉,H-S H S-HZ-H D P H HZG-SP S-HZ-H
250,进,H-H-SP-S D HZ-TN
251,愧,D D S P-S-HZ-H-H-SP-SWG PZ-D
252,業,S-S-D-P-H-D-P-H-H-H-S-P-N
253,存,H-P-S HG-SG-H
254,环,H H-S-H H-P-S-D
255,警,H-S-S P-HZG S-HZ-H P-H-P-N D H H H S-HZ-H
256,基,H-S-S-H-H-H P-D H-S-H
257,墙,H S T H D D S H S HZ S HZ H H
258,善,D-P-H-H-S-H D P H S-HZ-H
259,向,P-S-HZG S-HZ-H
260,时,S-HZ-H-H H-SG-D
261,至,H PZ-D H-S-H
262,泥,D D T HZ-H-SP P-SWG
263,世,H-S-S-H-SZ
264,伦,P-S P-N P-SWG
265,康,D H P HZ H H SG D T P N
266,前,D P H SP-HZG-H-H S SG
267,迪,S-HZ-H-S-H D HZ-TN
268,鸭,S-HZ-H-H-S P-HZG-D-SZWG H
269,款,H-S-H H H SG P D P-HG SP-N
270,铁,P-H-H-H-ST SP H-H-SP-N
271,户,D HZ-H-SP
272,休,P-S H-S-P-N
273,谢,D HZT P-S-HZG-H-H-H-P H-SG-D
274,图,S-HZ P-HP-N D D H
275,海,D D T P-H SZ-HZG-D-D-H
276,阳,HPWG-S S-HZ-H-H
277,永,D HZG HP P-N
278,合,SP-N H S-HZ-H
279,服,SP-HZG-H-H HZG-S HP-N
280,都,H-S-H-P S-HZ-H-H HPWG-S
281,木,H-S-P-N
282,类,D P H-S-P-N H-SP-N
283,面,H-P S-HZ-S-S-H-H-H
284,磨,D-H-SP H-S-P-D H-S-P-N H-P S-HZ-H
285,岛,P HZG D SZWG S SZ S
286,店,D-H-SP S-H S-HZ-H
287,川,SP S S
288,字,D-D-HG HG-SG-H
289,执,H-SG-T SP-HZWG-D
290,王,H H-S-H
291,社,D-HP-S-D H-S-H
292,驾,HZG-SP S-HZ-H HZ-SZWG H
293,龄,S-H-S-H SP-N SZ-S P-N D-HG-D
294,暖,S-HZ-H-H P D D P H H-P HP-N
295,局,HZ H P HZG S HZ H
296,尾,HZ-H-SP P-H-H-SWG
297,品,S-HZ-H S-HZ-H S-HZ-H
298,卫,HZG S H
299,军,D-HG H-SZ-H-S
300,能,PZ-D S-HZG-H-H P-SWG P-SWG
301,德,P P-S H-S S-HZ-S-S-H H D BXG D D
302,政,H-S-H-S-H P-H-P-N
303,万,H-SP-HZG
304,转,H-SZ-H-S H-H-SZZ-D
305,镇,P-H-H-H-ST H-S S-HZ-H-H-H H P D
306,们,P-S S-D-HZG
307,溢,D D T D P H P D S-HZ-S-S-H
308,空,D D-HG P TN H S-H
309,我,P-H-SG-T-XG-P-D
310,义,D P-N
311,针,P-H-H-H-ST H-S
312,力,HZG-SP
313,龙,H-SP-P-SWG D
314,门,S-D-HZG
315,务,P-HP-N HZG-SP
316,调,D HZT SP-HZG H-S-H S-HZ-H
317,村,H-S-P-D H-SG-D
318,國,S-HZ H S-HZ-H T XG-P-D H
319,左,H-P H S-H
320,筑,P-H-D P-H-D H S-H SP-HZWG D
321,莉,H-S-S P-H-S-P-D S SG
322,啡,S-HZ-H S-H-H-H S-H-H-H
323,双,HP-N HP-N
324,漆,D D T H-S-P-N P-N SG D T P D
325,艾,H-S-S P-N
326,云,H H-PZ-D
327,鍋,P-D H-H-S-D-P-T S-HZ-S-H-S-HZG S-HZ-H
328,盖,D-P-H-H-S-H S-HZ-S-S-H
329,饭,P-HG ST P-SP HP-N
330,隧,HPWG-S D P H-P-WG-P-P-P-N D HZ-TN
331,客,D-D-HG P-HP-N S-HZ-H
332,餐,S-H P-HP-D HP-N P-N-D-HZ-H-H-ST-P-D
333,报,H-SG-T HZG-S HP-N
334,湘,D D T H-S-P-D S-HZ-H-H-H
335,灰,H-P D-P-SP-N
336,锦,P-H-H-H-ST P-S-HZ-H-H S-HZG-S
337,草,H-S-S S-HZ-H-H H-S
338,皮,HG-SP-S-HP-N
