,char,strokeorder
0,业,27 27 30 28 26
1,夜,30 26 28 27 28 12 30 25
2,严,26 27 27 30 30 26 28
3,宴,30 30 33 27 31 26 26 40 28 26
4,棒,26 27 28 30 26 26 26 28 25 26 26 27
5,兴,30 30 28 26 28 30
6,展,31 26 28 26 27 27 26 37 28 25
7,破,26 28 27 31 26 33 29 27 12 25
8,行,28 28 27 26 26 39
9,装,30 30 27 26 27 26 30 26 28 37 28 25
10,眼,27 31 26 26 26 31 26 26 37 28 25
11,产,30 26 30 28 26 29
12,学,30 30 28 30 33 33 39 26
13,天,26 26 29 25
14,集,28 27 30 26 26 26 27 26 26 27 28 25
15,泰,26 26 26 28 25 39 30 0 28 25
16,市,30 26 27 10 27
17,豪,30 26 27 31 26 30 33 26 28 1 28 28 28 25
18,州,28 28 30 27 30 27
19,居,31 26 29 26 27 27 31 26
20,中,27 31 26 27
21,宝,30 30 33 26 26 27 26 30
22,保,28 27 27 31 26 26 27 28 25
23,华,28 27 28 47 26 27
24,号,27 31 26 26 15
25,国,27 31 26 26 27 26 30 26
26,造,28 26 27 26 27 31 26 30 31 44
27,众,28 25 29 25 29 25
28,载,26 27 26 3 28 30 26 34 26 27
29,道,30 28 26 28 27 31 26 26 26 30 31 44
30,电,27 31 26 26 47
31,君,31 26 26 28 27 31 26
32,羊,30 28 26 26 26 27
33,股,29 10 26 26 29 21 12 25
34,江,30 30 0 26 27 26
35,加,10 29 27 31 26
36,佳,28 27 26 27 26 26 27 26
37,共,26 27 27 26 28 30
38,没,30 30 0 29 21 12 25
39,丽,26 27 10 30 27 10 30
40,山,27 34 27
41,东,26 34 39 28 30
42,处,28 12 25 27 30
43,巡,40 40 40 30 31 44
44,院,20 27 30 30 33 26 26 29 47
45,五,26 27 31 26
46,精,30 28 26 27 28 25 26 26 27 26 29 10 26 26
47,会,28 25 26 26 42 30
48,成,26 29 10 3 28 30
49,聘,26 27 27 26 26 26 27 31 26 27 26 26 15
50,典,27 31 26 27 27 26 28 30
51,修,28 27 27 28 12 25 28 28 28
52,上,27 26 26
53,吉,26 27 26 27 31 26
54,反,28 29 12 25
55,采,28 30 30 28 26 27 28 25
56,夫,26 26 29 25
57,生,28 26 26 27 26
58,诸,30 16 26 27 26 28 27 31 26 26
59,杰,26 27 28 25 30 30 30 30
60,有,26 28 27 10 26 26
61,和,28 26 27 28 30 27 31 26
62,便,28 27 26 27 31 26 26 29 25
63,公,28 25 42 30
64,回,27 31 27 31 26 26
65,药,26 27 27 42 42 0 28 10 30
66,团,27 31 26 39 28 26
67,民,31 26 37 26 3
68,美,30 28 26 26 27 26 26 29 25
69,手,28 26 26 39
70,疗,30 26 29 30 0 33 39
71,雪,26 30 33 27 26 26 26 26 31 26 26
72,请,30 16 26 26 27 26 29 10 26 26
73,规,26 26 29 25 27 31 29 47
